url,course_name,rating,survey_count,Institution,Level,Associated_skills,price,duration_days
https://www.coursera.org/specializations/ai-healthcare,ai in healthcare,0.666270771365209,0.06430757830587337,Stanford University,Beginner,"skills you'll gain: feature engineering, pharmaceuticals, data ethics, clinical data management, health systems, healthcare industry knowledge, unstructured data, data mining, health care, applied machine learning, electronic medical record, machine learning algorithms, machine learning, data collection, health care administration, artificial neural networks, medicare, quality improvement, health care procedure and regulation, artificial intelligence",220.455,135.0
https://www.coursera.org/professional-certificates/google-advanced-data-analytics,google advanced data analytics,0.666270771365209,0.18333611243880557,Google,Advanced,"skills you'll gain: exploratory data analysis, data storytelling, sampling (statistics), data ethics, data visualization software, data presentation, statistical hypothesis testing, regression analysis, feature engineering, data transformation, data visualization, probability & statistics, tableau software, data manipulation, advanced analytics, data cleansing, object oriented programming (oop), applied machine learning, statistical analysis, jupyter",220.455,135.0
https://www.coursera.org/specializations/data-science-foundations,data science foundations,0.5550276951536111,1.0,Multiple educators,Beginner,"skills you'll gain: dashboard, pseudocode, jupyter, algorithms, data mining, pandas (python package), correlation analysis, web scraping, numpy, probability & statistics, predictive modeling, big data, automation, data visualization software, data collection, data science, github, python programming, machine learning algorithms, unsupervised learning",220.455,135.0
https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,microsoft power bi data analyst,0.5550276951536111,0.20585502430179276,Microsoft,Beginner,"skills you'll gain: data storytelling, dashboard, excel formulas, extract, transform, load, power bi, data analysis expressions (dax), microsoft excel, data modeling, data-driven decision-making, star schema, data analysis, data presentation, data visualization software, microsoft power platform, data integrity, spreadsheet software, data validation, data transformation, data cleansing, data visualization",220.455,135.0
https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,ibm full stack software developer,0.5550276951536111,1.0,IBM,Beginner,"skills you'll gain: istio, node.js, software development life cycle, unit testing, object-relational mapping, cloud computing architecture, server side, application deployment, kubernetes, react redux, cloud services, openshift, git (version control system), cloud applications, full-stack web development, html and css, cloud computing, jupyter, generative ai, interviewing skills",220.455,135.0
https://www.coursera.org/professional-certificates/devops-and-software-engineering,ibm devops and software engineering,0.5550276951536111,1.0,IBM,Beginner,"skills you'll gain: ci/cd, open web application security project (owasp), istio, continuous integration, software development life cycle, linux commands, agile software development, unit testing, cloud computing architecture, application deployment, test driven development (tdd), gherkin (scripting language), kubernetes, jenkins, bash (scripting language), cloud services, devops, git (version control system), jupyter, grafana",220.455,135.0
https://www.coursera.org/learn/google-prompting-essentials,google prompting essentials,0.777513847576806,0.013865215732782104,Google,Beginner,"skills you'll gain: presentations, data presentation, data storytelling, generative ai, project management, data analysis, workflow management, project coordination, brainstorming, productivity software, artificial intelligence, business correspondence",28.5775,17.5
https://www.coursera.org/learn/project-management-foundations,foundations of project management,0.8887569237884039,1.0,Google,Beginner,"skills you'll gain: project management life cycle, change management, organizational structure, project management, project coordination, organizational skills, agile methodology, project planning, waterfall methodology, cross-functional collaboration, communication, decision making",28.5775,17.5
https://www.coursera.org/professional-certificates/ibm-ai-product-manager,ibm ai product manager,0.666270771365209,0.707705060105507,IBM,Beginner,"skills you'll gain: generative ai, new product development, product management, product lifecycle management, product development, innovation, product roadmaps, chatgpt, product planning, commercialization, product strategy, artificial intelligence, project management life cycle, data ethics, openai, product marketing, stakeholder management, competitive analysis, product testing, artificial intelligence and machine learning (ai/ml)",220.455,135.0
https://www.coursera.org/learn/foundations-data,"foundations: data, data, everywhere",0.777513847576806,1.0,Google,Beginner,"skills you'll gain: data ethics, data analysis, analytics, data-driven decision-making, google sheets, business analytics, spreadsheet software, analytical skills, data sharing, data cleansing, data processing, data strategy, data visualization software, sql",28.5775,17.5
https://www.coursera.org/learn/machine-learning,supervised machine learning: regression and classification,0.8887569237884039,0.8685544305554154,DeepLearning.AI,Beginner,"skills you'll gain: supervised learning, applied machine learning, jupyter, scikit learn (machine learning library), machine learning, numpy, predictive modeling, feature engineering, artificial intelligence, classification and regression tree (cart), python programming, regression analysis, unsupervised learning, statistical modeling, data-driven decision-making, algorithms",28.5775,17.5
https://www.coursera.org/specializations/data-science-fundamentals-python-sql,data science fundamentals with python and sql,0.5550276951536111,1.0,IBM,Beginner,"skills you'll gain: dashboard, sql, descriptive statistics, jupyter, statistical analysis, data analysis, probability distribution, pandas (python package), data visualization software, statistics, data visualization, statistical hypothesis testing, databases, stored procedure, web scraping, relational databases, automation, data science, github, python programming",220.455,135.0
https://www.coursera.org/professional-certificates/ibm-backend-development,ibm back-end development,0.5550276951536111,1.0,IBM,Beginner,"skills you'll gain: open web application security project (owasp), istio, software development life cycle, linux commands, unit testing, object-relational mapping, application deployment, kubernetes, nosql, bash (scripting language), mongodb, shell script, openshift, git (version control system), cloud applications, containerization, github, serverless computing, jupyter, grafana",220.455,135.0
https://www.coursera.org/professional-certificates/ibm-data-engineer,ibm data engineering,0.5550276951536111,1.0,IBM,Beginner,"skills you'll gain: nosql, data warehousing, sql, apache hadoop, extract, transform, load, apache airflow, web scraping, linux commands, database design, ibm cognos analytics, mysql, apache spark, data pipelines, apache kafka, database management, bash (scripting language), shell script, jupyter, generative ai, professional networking",220.455,135.0
https://www.coursera.org/specializations/software-engineering-fundamentals,applied software engineering fundamentals,0.5550276951536111,1.0,IBM,Beginner,"skills you'll gain: software development life cycle, linux commands, unit testing, bash (scripting language), shell script, git (version control system), github, development environment, version control, file management, jupyter, software engineering, software architecture, application deployment, automation, flask (web framework), web scraping, python programming, open source technology, application development",220.455,135.0
https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,ibm data analytics with excel and r,0.666270771365209,0.8685544305554154,IBM,Beginner,"skills you'll gain: data storytelling, data presentation, interactive data visualization, data visualization software, data visualization, shiny (r package), data wrangling, exploratory data analysis, statistical visualization, relational databases, big data, ggplot2, database design, data analysis, data mining, dashboard, excel formulas, data manipulation, web scraping, microsoft excel",220.455,135.0
https://www.coursera.org/professional-certificates/ibm-relational-database-administrator,ibm relational database administrator,0.5550276951536111,1.0,IBM,Intermediate,"skills you'll gain: data warehousing, sql, extract, transform, load, apache airflow, web scraping, linux commands, database design, mysql, data pipelines, apache kafka, database management, bash (scripting language), shell script, database architecture and administration, data transformation, ibm db2, relational databases, postgresql, jupyter, generative ai",220.455,135.0
https://www.coursera.org/specializations/digital-strategy,ibm & darden digital strategy,0.666270771365209,1.0,IBM,Beginner,"skills you'll gain: strategic thinking, digital transformation, business strategy, cloud computing architecture, competitive analysis, cloud services, business transformation, cloud security, cloud infrastructure, big data, cloud platforms, data analysis, statistical analysis, cloud computing, artificial intelligence, generative ai, data ethics, apache hadoop, product lifecycle management, business technologies",220.455,135.0
https://www.coursera.org/specializations/introduction-data-science,introduction to data science,0.5550276951536111,1.0,IBM,Beginner,"skills you'll gain: sql, jupyter, data mining, peer review, data modeling, databases, stored procedure, relational databases, database design, query languages, data science, database management, big data, data cleansing, data visualization software, github, business analysis, cloud computing, data analysis, data processing",220.455,135.0
https://www.coursera.org/specializations/data-analysis-visualization-foundations,data analysis and visualization foundations,0.666270771365209,0.8363845564654337,IBM,Beginner,"skills you'll gain: data storytelling, data presentation, data visualization, interactive data visualization, big data, data visualization software, data analysis, ibm cognos analytics, statistical analysis, data mining, dashboard, apache hadoop, data collection, tree maps, excel formulas, apache hive, microsoft excel, data quality, data cleansing, data import/export",220.455,135.0
https://www.coursera.org/specializations/applied-data-science,applied data science,0.5550276951536111,1.0,IBM,Beginner,"skills you'll gain: dashboard, data visualization software, plotly, data wrangling, data visualization, exploratory data analysis, data cleansing, jupyter, matplotlib, data analysis, pandas (python package), data manipulation, seaborn, data transformation, data import/export, predictive modeling, web scraping, interactive data visualization, automation, python programming",220.455,135.0
https://www.coursera.org/specializations/wharton-business-foundations,business foundations,0.666270771365209,0.804214682375452,University of Pennsylvania,Beginner,"skills you'll gain: operations management, return on investment, operational efficiency, financial statements, financial statement analysis, finance, human capital, go to market strategy, process analysis, branding, people management, financial reporting, capital budgeting, financial accounting, operational performance management, consumer behaviour, leadership and management, marketing planning, peer review, analysis",220.455,135.0
https://www.coursera.org/learn/foundations-of-cybersecurity,foundations of cybersecurity,0.777513847576806,0.9972339269153421,Google,Beginner,"skills you'll gain: security controls, cybersecurity, cyber attacks, security awareness, cyber security policies, network analysis, security information and event management (siem), ethical standards and conduct, sql",28.5775,17.5
https://www.coursera.org/specializations/key-technologies-for-business,key technologies for business,0.666270771365209,1.0,IBM,Beginner,"skills you'll gain: cloud computing architecture, cloud services, cloud security, cloud infrastructure, data mining, cloud platforms, cloud computing, artificial intelligence, generative ai, data ethics, openai, cloud storage, artificial intelligence and machine learning (ai/ml), infrastructure as a service (iaas), big data, emerging technologies, data analysis, data science, deep learning, digital transformation",220.455,135.0
https://www.coursera.org/specializations/data-engineering-foundations,data engineering foundations,0.5550276951536111,1.0,IBM,Beginner,"skills you'll gain: sql, web scraping, database design, mysql, data transformation, extract, transform, load, ibm db2, relational databases, data architecture, jupyter, data pipelines, big data, database management, data warehousing, data governance, databases, stored procedure, data manipulation, automation, python programming",220.455,135.0
https://www.coursera.org/specializations/ai-foundations-for-everyone,ai foundations for everyone,0.666270771365209,0.7398749341954887,IBM,Beginner,"skills you'll gain: chatgpt, generative ai, artificial intelligence, data ethics, openai, artificial intelligence and machine learning (ai/ml), deep learning, artificial neural networks, application deployment, ibm cloud, governance, machine learning, business transformation, ethical standards and conduct, computer vision, self service technologies, information architecture, business process automation, software development tools, image analysis",220.455,135.0
https://www.coursera.org/professional-certificates/google-it-automation,google it automation with python,0.666270771365209,1.0,Google,Beginner,"skills you'll gain: git (version control system), github, version control, puppet (configuration management tool), ci/cd, containerization, debugging, bash (scripting language), infrastructure as code (iac), docker (software), continuous deployment, continuous integration, technical communication, network troubleshooting, linux commands, linux, scripting, automation, python programming, computer programming",220.455,135.0
https://www.coursera.org/specializations/ai-for-business-wharton,ai for business,0.666270771365209,0.038571679033888036,University of Pennsylvania,Beginner,"skills you'll gain: generative ai, data ethics, hr tech, data governance, big data, machine learning, data security, governance, business strategy, human resources, organizational strategy, credit risk, business transformation, risk management, tensorflow, personalized service, digital transformation, data-driven decision-making, artificial intelligence and machine learning (ai/ml), artificial intelligence",220.455,135.0
https://www.coursera.org/specializations/ibm-ai-foundations-for-business,ibm ai foundations for business,0.666270771365209,1.0,IBM,Beginner,"skills you'll gain: data mining, artificial intelligence, generative ai, data ethics, openai, artificial intelligence and machine learning (ai/ml), big data, information architecture, strategic decision-making, cloud computing, data analysis, data science, deep learning, digital transformation, data strategy, data-driven decision-making, artificial neural networks, business strategy, business process automation, chatgpt",97.98,60.0
https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,foundations of digital marketing and e-commerce,0.777513847576806,0.8363845564654337,Google,Beginner,"skills you'll gain: data storytelling, performance measurement, data-driven decision-making, e-commerce, digital marketing, branding, marketing channel, marketing strategy and techniques, customer analysis, advertising, marketing analytics, search engine marketing, customer engagement, content marketing, brand awareness, search engine optimization, social media marketing, target audience",28.5775,17.5
https://www.coursera.org/professional-certificates/meta-front-end-developer,meta front-end developer,0.666270771365209,0.707705060105507,Meta,Beginner,"skills you'll gain: jest (javascript testing framework), version control, user research, usability testing, responsive web design, cascading style sheets (css), data structures, unix commands, html and css, git (version control system), persona (user experience), github, interaction design, user experience design, bootstrap (front-end framework), react.js, mobile development, front-end web development, algorithms, web development tools",220.455,135.0
https://www.coursera.org/professional-certificates/adobe-graphic-designer,adobe graphic designer,0.5550276951536111,0.010487378953334028,Adobe,Beginner,"skills you'll gain: adobe illustrator, color theory, adobe photoshop, adobe acrobat, typography, generative ai, document management, design, design elements and principles, graphic and visual design, graphic design, web content accessibility guidelines, graphic and visual design software, logo design, workflow management, productivity software, file management, adobe creative cloud, data integrity, creativity",220.455,135.0
https://www.coursera.org/professional-certificates/facebook-social-media-marketing,meta social media marketing,0.777513847576806,0.6755351860155253,Meta,Beginner,"skills you'll gain: social media content, social media marketing, social media management, social media, marketing analytics, target audience, social media strategy, instagram, content creation, campaign management, marketing effectiveness, marketing, performance analysis, key performance indicators (kpis), goal setting, advertising, facebook, performance metric, advertising campaigns, presentations",220.455,135.0
https://www.coursera.org/specializations/finance-accounting,introduction to finance and accounting,0.5550276951536111,0.4503460673856535,University of Pennsylvania,Beginner,"skills you'll gain: financial statements, return on investment, financial statement analysis, finance, financial reporting, capital budgeting, financial accounting, financial modeling, working capital, balance sheet, accrual accounting, accounting, cash flows, income statement, generally accepted accounting principles (gaap), financial analysis, tax planning, equities, financial planning, corporate finance",220.455,135.0
https://www.coursera.org/specializations/python,python for everybody,0.777513847576806,1.0,University of Michigan,Beginner,"skills you'll gain: web scraping, data processing, relational databases, json, database design, sql, network protocols, databases, web services, restful api, programming principles, data cleansing, data structures, data storytelling, data collection, computer programming, python programming, data manipulation, development environment, computational thinking",220.455,135.0
https://www.coursera.org/learn/technical-support-fundamentals,technical support fundamentals,0.777513847576806,1.0,Google,Beginner,"skills you'll gain: computer hardware, technical support, software installation, help desk support, information technology, hardware troubleshooting, microsoft windows, linux, computer networking, computational logic, technical documentation",97.98,60.0
https://www.coursera.org/specializations/introduction-to-generative-ai,introduction to generative ai learning path,0.5550276951536111,0.2508928480277671,Google Cloud,Intermediate,"skills you'll gain: generative ai, data ethics, artificial intelligence, google cloud platform, business ethics, application development, accountability, compliance training, ethical standards and conduct, artificial intelligence and machine learning (ai/ml), governance, organizational effectiveness, machine learning, project design, decision making, natural language processing, machine learning methods, corporate strategy, performance tuning, business leadership",97.98,60.0
https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,finance & quantitative modeling for analysts,0.44378461894201404,0.5146858155656169,University of Pennsylvania,Beginner,"skills you'll gain: return on investment, financial reporting, finance, financial data, capital budgeting, financial statements, financial modeling, mathematical modeling, statistical modeling, regression analysis, business modeling, income statement, financial analysis, risk analysis, cash flows, business mathematics, financial planning, spreadsheet software, google sheets, excel formulas",220.455,135.0
