url,course_name,rating,survey_count,Institution,Subject,Level,Associated_skills,price,duration
https://www.edx.org/learn/drugs/the-university-of-texas-at-austin-take-your-medicine-how-to-be-a-savvy-consumer,UTAustinX: Take Your Medicine: How to Be a Savvy Consumer,,,UTAustinX,Data Analysis & Statistics,Introductory,"Drug Development, Pharmaceuticals",,4 weeks
https://www.edx.org/learn/drugs/the-university-of-texas-at-austin-take-your-medicine-developing-new-drug-products,UTAustinX: Take Your Medicine: Developing New Drug Products,,,UTAustinX,Data Analysis & Statistics,Intermediate,"Drug Development, Marketing, Pharmaceuticals, Research",,4 weeks
https://www.edx.org/learn/artificial-intelligence/ku-leuven-ai-in-healthcare-hype-or-help,KULeuvenX: AI in Healthcare. Hype or Help?,4.1,9,KULeuvenX,Medicine,Advanced,,,10 weeks
https://www.edx.org/learn/healthcare/stanford-university-an-evidence-based-approach-to-the-diagnosis-and-management-of-migraines-in-adults-in-the-primary-care-and-general-neurology-setting,StanfordOnline: An Evidence-Based Approach to the Diagnosis and Management of Migraines in Adults in the Primary Care and General Neurology Setting,,,StanfordOnline,Health & Safety,Advanced,"ANCC Certified, Behavioral Health, Compassion, Continuing Medical Education, Emergency Medicine, Family Therapy, Medical Prescription, Medication Monitoring, Migraine, Neurology, Pain Management, Patient Education And Counseling, Pharmacology, Primary Care",,1 weeks
https://www.edx.org/learn/public-health/georgetown-university-urban-health-in-crisis-response-from-sub-saharan-africa,GeorgetownX: Urban Health in Crisis: Response from Sub-Saharan Africa,,,GeorgetownX,Social Sciences,Introductory,"Built Environment, Crisis Management, Governance, Infectious Diseases, Research, Urbanization",139,12 weeks
https://www.edx.org/learn/medicine/stanford-university-optimizing-antimicrobial-therapy-with-timeouts,StanfordOnline: Optimizing Antimicrobial Therapy with Timeouts,,,StanfordOnline,Medicine,Advanced,"ANCC Certified, Advocacy, Antibiotics, Antimicrobials, Cardiology, Continuing Medical Education, Critical Care, De-escalation Techniques, Doctor Of Pharmacy (PharmD), Family Medicine, General Surgery, High-Yield Debt, Hospital Medicine, Infection, Infectious Diseases, Inpatient Care, Internal Medicine, Intravenous Infusions, Intravenous Therapy, Management, Medical Laboratory, Microbiology, Neurology, Oncology, Pediatrics, Pneumonia, Urinary Systems, Urology",,1 weeks
https://www.edx.org/learn/cooking/harvard-university-food-fermentation-the-science-of-cooking-with-microbes,HarvardX: Food Fermentation: The Science of Cooking with Microbes,4.7,86,HarvardX,Biology & Life Sciences,Introductory,"Biochemistry, Chemistry, Cooking, Experimentation, Fermentation, Microbiology",249,14 weeks
https://www.edx.org/learn/waste-management/purdue-university-biological-principles-in-wastewater-treatment,PurdueX: Biological Principles in Wastewater Treatment,,,PurdueX,Engineering,Advanced,"Biology, Design Elements And Principles, Sewage Treatments, Wastewater, Water Quality",750,5 weeks
https://www.edx.org/learn/cannabis/doane-university-cannabis-compliance-testing-and-research,"DoaneX: Cannabis Compliance, Testing, and Research",,,DoaneX,Environmental Studies,Introductory,"Analytical Chemistry, Cannabis, Compliance Testing, Microbiology, Operations, Research",219,3 weeks
https://www.edx.org/learn/food-science/zhaw-zurich-university-of-applied-sciences-aquaponics-the-circular-food-production-system,ZHAWx: Aquaponics – the circular food production system,4.6,16,ZHAWx,Biology & Life Sciences,Intermediate,"Aquaculture, Aquaponics, Biology, Chemistry, Fish Culture, Hydroponics, Microbiology, Natural Sciences, Physics, Plant Physiology, Soil Science, Wastewater, Water Chemistry Analysis",129,6 weeks
https://www.edx.org/learn/microbiology/universidad-nacional-de-cordoba-la-microbiologia-del-sistema-de-siembra-directa,UNCordobaX: La microbiología del Sistema de Siembra Directa,,,UNCordobaX,Biology & Life Sciences,Intermediate,"Agriculture, Agrochemicals, Biology, Biomass, Crop Rotation, Eukaryotes, Fertilizers, Java Code Coverage Tools, LESS, Management, Microbiology, Photosynthesis, Soil Biology, Soil Fertility, Soil Microbiology, Soil Science, Tillage, Viruses",89,7 weeks
https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-food-safety,WageningenX: Nutrition and Health: Food Safety,4.3,52,WageningenX,Food & Nutrition,Introductory,"Food Safety And Sanitation, Foodborne Illness, Managing Intoxication",209,8 weeks
https://www.edx.org/learn/image-analysis/ecole-polytechnique-federale-de-lausanne-image-processing-and-analysis-for-life-scientists,EPFLx: Image Processing and Analysis for Life Scientists,4.3,6,EPFLx,Data Analysis & Statistics,Intermediate,"Biology, Image Analysis, Image Processing, Service-Oriented, Workflow Management",249,7 weeks
https://www.edx.org/learn/physical-chemistry/ecole-polytechnique-federale-de-lausanne-cement-chemistry-and-sustainable-cementitious-materials,EPFLx: Cement Chemistry and Sustainable Cementitious Materials,4.1,16,EPFLx,Physics,Intermediate,"Chemistry, Crystallography, Infrastructure, Materials Science, Physics, Scanning Electron Microscopy",249,6 weeks
https://www.edx.org/learn/genetics/rice-university-ap-r-biology-part-2-genetics,RICEx: AP® Biology - Part 2: Genetics,,,RICEx,Biology & Life Sciences,Introductory,"Biology, Genetics",,4 weeks
https://www.edx.org/learn/dna/university-of-cambridge-forensic-science-dna-analysis,UniversityofCambridge: Forensic Science: DNA Analysis,4.6,36,UniversityofCambridge,Biology & Life Sciences,Introductory,"Biology, DNA Profiling, Forensic Sciences, Genetics, Investigation, Law Enforcement, Molecular Biology, Podcasting, Public Policies, Research, Web Conferencing",299,5 weeks
https://www.edx.org/learn/physics/ecole-polytechnique-federale-de-lausanne-synchrotrons-and-x-ray-free-electron-lasers-part-1,EPFLx: Synchrotrons and X-Ray Free Electron Lasers (part 1),,,EPFLx,Physics,Advanced,"Chemistry, Environmental Science, Molecular Biology, Novel Materials",169,6 weeks
https://www.edx.org/learn/physics/ecole-polytechnique-federale-de-lausanne-synchrotrons-and-x-ray-free-electron-lasers-part-2,EPFLx: Synchrotrons and X-Ray Free Electron Lasers (part 2),,,EPFLx,Physics,Advanced,,169,6 weeks
https://www.edx.org/learn/biology/tsinghua-university-introduction-to-modern-biology-xian-dai-sheng-wu-xue-dao-lun,TsinghuaX: Introduction to Modern Biology | 现代生物学导论,,,TsinghuaX,Biology & Life Sciences,Introductory,"Animations, Basic Math, Biochemistry, Biology, Cell Biology, Chemistry, Communications, Critical Thinking, Ecology, Endocrinology, Genetic Biology, Genetics, Genomics, Immunology, Molecular Biology, Neurobiology, Physics, Psychology, Recombinant DNA Technology, Research, Scientific Studies, Teaching",179,12 weeks
https://www.edx.org/learn/beer/ku-leuven-beer-the-science-of-brewing,KULeuvenX: Beer: the science of brewing,4.6,47,KULeuvenX,Food & Nutrition,Intermediate,"Biochemistry, Influencing Skills",99,13 weeks
https://www.edx.org/learn/earth-sciences/tokyo-institute-of-technology-introduction-to-deep-earth-science,TokyoTechX: Introduction to Deep Earth Science,,,TokyoTechX,Energy & Earth Sciences,Introductory,Scientific Methods,60,5 weeks
https://www.edx.org/learn/sustainable-development/sdg-academy-natural-resources-for-sustainable-development,SDGAcademyX: Natural Resources for Sustainable Development,4.5,8,SDGAcademyX,Energy & Earth Sciences,Intermediate,"Corporate Sustainability, Environmental Laws, Environmental Science, Governance, Investments, Oil And Gas, Sustainable Business, Sustainable Development",,12 weeks
https://www.edx.org/learn/environmental-science/eth-zurich-landscape-ecology,ETHx: Landscape Ecology,4.1,14,ETHx,Environmental Studies,Intermediate,"Land Management, Landscape Ecology, Landscaping, Social Sciences",50,14 weeks
https://www.edx.org/learn/neuroscience/harvard-university-fundamentals-of-neuroscience-part-1-the-electrical-properties-of-the-neuron,"HarvardX: Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",4.7,116,,,,,249,5 weeks
https://www.edx.org/learn/neuroscience/harvard-university-fundamentals-of-neuroscience-part-2-neurons-and-networks,"HarvardX: Fundamentals of Neuroscience, Part 2: Neurons and Networks.",4.6,50,HarvardX,Biology & Life Sciences,Introductory,"Animations, Complex Networks, Documentary Films, Electronic Circuits",249,6 weeks
https://www.edx.org/learn/cognitive-science/university-of-cambridge-introduction-to-cognitive-psychology-and-neuropsychology,UniversityofCambridge: Introduction to Cognitive Psychology and Neuropsychology,4.4,31,UniversityofCambridge,Biology & Life Sciences,Introductory,,299,5 weeks
https://www.edx.org/bachelors/microbachelors/harvardx-introduction-to-neuroscience,Drive your career forward,,,Harvard University,,,,$851.40,5 months
https://www.edx.org/learn/behavioral-psychology/university-of-cambridge-the-psychology-of-emotions-an-introduction-to-embodied-cognition,UniversityofCambridge: The Psychology of Emotions: An Introduction to Embodied Cognition,4.4,56,UniversityofCambridge,Biology & Life Sciences,Intermediate,"Cognitive Neuroscience, Cognitive Psychology, Decision Making, Human Factors, Neuroimaging, Psychology, Research, Self-Awareness",299,5 weeks
https://www.edx.org/learn/psychology/american-psychological-association-positive-psychology,APA: Positive Psychology,4.6,37,APA,Social Sciences,Introductory,"Creativity, Influencing Skills, Optimism, Psychology, Research, Scientific Studies",129,8 weeks
https://www.edx.org/learn/abnormal-psychology/doane-university-abnormal-psychology,DoaneX: Abnormal Psychology,4.6,8,DoaneX,Humanities,Intermediate,"Abnormal Psychology, Auditing, Biology, Diagnostic And Statistical Manual Of Mental Disorders, Psychology",119,8 weeks
https://www.edx.org/learn/neuroscience/university-of-alaska-fairbanks-behavioral-neuroscience-analyzing-anxiety-and-depression,AlaskaX: Behavioral Neuroscience: Analyzing Anxiety and Depression,,,AlaskaX,Biology & Life Sciences,Intermediate,"Animal Models, Animal Observation And Monitoring, Basic Research, Biology, Mental Health, Research, Research Methodologies",189,5 weeks
https://www.edx.org/learn/psychology/doane-university-fundamentals-of-psychology,DoaneX: Fundamentals of Psychology,4.6,75,DoaneX,Social Sciences,Introductory,"Auditing, Cognitive Processing, Psychology, Psychopathology, Scientific Methods",119,8 weeks
https://www.edx.org/learn/human-psychology/universita-degli-studi-di-napoli-federico-ii-introduction-to-psychology-of-personality,FedericaX: Introduction to psychology of personality,4.0,7,FedericaX,Humanities,Intermediate,"Personality Psychology, Psychology, Research",55,7 weeks
https://www.edx.org/learn/neuroscience/university-of-alaska-fairbanks-behavioral-neuroscience-foundations-of-compulsive-behaviors,AlaskaX: Behavioral Neuroscience: Foundations of Compulsive Behaviors,,,AlaskaX,Biology & Life Sciences,Introductory,"Animal Care, Animal Models, Basic Research, Behavioral Science, Biology, Cognitive Processing, Computational Neuroscience, Diagnostic And Statistical Manual Of Mental Disorders, Mental Health, Neuroanatomy, Neurobiology, Neurophysiology, Neuropsychology, Neuroscience, Research, Research Methodologies",189,5 weeks
https://www.edx.org/learn/psychology/american-psychological-association-qualitative-research-in-psychology,APA: Qualitative Research in Psychology,4.6,11,,,,,129,8 weeks
https://www.edx.org/learn/neuroscience/ecole-polytechnique-federale-de-lausanne-computational-neuroscience-neuronal-dynamics-of-cognition,EPFLx: Computational Neuroscience: Neuronal Dynamics of Cognition,,,EPFLx,Biology & Life Sciences,Advanced,Computational Neuroscience,179,6 weeks
https://www.edx.org/learn/psychology/the-university-of-queensland-introduction-to-clinical-psychology,UQx: Introduction to Clinical Psychology,4.8,18,UQx,Humanities,Introductory,"Clinical Psychology, Mental Diseases, Psychology, Schizophrenia",249,7 weeks
https://www.edx.org/learn/cognitive-science/american-psychological-association-be-a-better-learner-using-psychology,APA: Be a Better Learner Using Psychology,4.9,7,APA,Social Sciences,Introductory,"Cognitive Psychology, Metacognition, Psychology, Research, Study Skills",129,8 weeks
https://www.edx.org/learn/nutrition/ku-leuven-clinical-nutrition-evidence-based-practice,KULeuvenX: Clinical Nutrition – evidence-based practice,4.6,38,KULeuvenX,Food & Nutrition,Intermediate,,59,6 weeks
https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-cancer,WageningenX: Nutrition and Cancer,4.7,46,WageningenX,Food & Nutrition,Intermediate,"Body Composition Analysis, Breast Cancer, Cancer, Cancer Prevention, Cardiovascular Disease, Diabetes Mellitus, Health Policies, Management Of Cancer, Physical Exercises, Prostate Cancer",189,5 weeks
https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-micronutrients-and-malnutrition,WageningenX: Nutrition and Health: Micronutrients and Malnutrition,4.8,55,WageningenX,Biology & Life Sciences,Intermediate,"Cancer, Diabetes Mellitus, Health Impact Assessments, Malnutrition",249,7 weeks
https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-macronutrients-and-overnutrition,WageningenX: Nutrition and Health: Macronutrients and Overnutrition,4.5,65,WageningenX,Biology & Life Sciences,Introductory,"Cancer, Diabetes Mellitus, Health Impact Assessments, Malnutrition, Written Composition",249,9 weeks
https://www.edx.org/learn/nutrition/university-of-california-riverside-nutrition-and-healthy-living,UCR: Nutrition and Healthy Living,4.5,21,UCR,Food & Nutrition,Introductory,,59,6 weeks
https://www.edx.org/learn/sustainability/sdg-academy-feeding-a-hungry-planet-agriculture-nutrition-and-sustainability,"SDGAcademyX: Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",4.7,16,SDGAcademyX,Environmental Studies,Intermediate,"Agriculture, Economics, Ecosystem Science, Food Security, International Aid Transparency Initiative, Malnutrition, Social Entrepreneurship",,7 weeks
https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-exercise-and-sports,"WageningenX: Nutrition, Exercise and Sports",4.6,33,WageningenX,Food & Nutrition,Intermediate,"Exercise Physiology, Physical Therapy, Sports Coaching",209,6 weeks
https://www.edx.org/certificates/professional-certificate/wageningenx-food-nutrition-and-health,Learn the truth about food and nutrition,,,Wageningen University & Research,,,,$448.20,4 months
https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-for-healthy-ageing,WageningenX: Nutrition for Healthy Ageing,4.9,21,WageningenX,Food & Nutrition,Intermediate,"Aging Processes, Bone Densities, Digestive System, Influencing Skills, Mental Health",149,6 weeks
https://www.edx.org/learn/nutrition/imperial-college-london-care-nutrition-in-ageing,ImperialX: CARE: Nutrition in Ageing,,,ImperialX,Food & Nutrition,Introductory,"Caregiving, Disease Prevention, Vulnerability",49,4 weeks
https://www.edx.org/learn/healthcare/salisbury-university-alzheimers-disease-dementia-care,"SU, USMx: Alzheimer’s Disease & Dementia Care",,,"SU, USMx",Medicine,Intermediate,"Activities Of Daily Living (ADLs), Alzheimer's Disease, Caregiving, Communication Strategies, Dementia, Dementia Care, Hallucinations, Pathophysiology, Problem Solving",49,5 weeks
https://www.edx.org/learn/medicine/stanford-university-hypertension-in-primary-care-improving-control-and-reducing-risk,StanfordOnline: Hypertension in Primary Care – Improving Control and Reducing Risk,,,StanfordOnline,Medicine,Advanced,"ANCC Certified, Cardiology, Continuing Medical Education, Decision Making, Family Medicine, Internal Medicine, Nephrology, Pathophysiology, Presentations, Primary Care",,1 weeks
https://www.edx.org/learn/quantum-physics-mechanics/the-university-of-tokyo-quantum-mechanics-of-molecular-structures,UTokyoX: Quantum Mechanics of Molecular Structures,4.6,7,UTokyoX,Physics,Intermediate,"Cathode Ray (Electromagnetism), Chemistry, Electromagnetic Radiation, Quantum Mechanics, Spectroscopy, Vibrations",59,6 weeks
https://www.edx.org/learn/food-science/harvard-university-science-cooking-from-haute-cuisine-to-soft-matter-science-chemistry,HarvardX: Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),4.7,25,HarvardX,Chemistry,Introductory,"Chemical Reactions, Chemistry, Cooking, Influencing Skills, Physics, Research, Soft Matter",249,16 weeks
https://www.edx.org/learn/environmental-science/university-of-alaska-fairbanks-salmon-people-and-place,"AlaskaX: Salmon, People, and Place",,,AlaskaX,Environmental Studies,Introductory,"Biology, Ecosystem Science, Natural Resource Management",179,6 weeks
https://www.edx.org/learn/c-programming/dartmouth-college-c-programming-language-foundations,"DartmouthX, IMTx: C Programming: Language Foundations",4.6,16,"DartmouthX, IMTx",Computer Science,Introductory,"Algorithms, C (Programming Language), Decision Making, Linux, Programming Concepts",99,5 weeks
