url,course_name,rating,survey_count,Institution,Subject,Level,Language,Associated_skills,price,duration
https://www.edx.org/learn/bible/israelx-biblical-archaeology-the-archaeology-of-ancient-israel-and-judah,IsraelX: Biblical Archaeology: The archaeology of ancient Israel and Judah,4.9 stars,16 ratings,IsraelX,History,Introductory,English,"Archaeology, Legal Discovery",$119 USD,12 weeks
https://www.edx.org/learn/leadership/university-of-canterbury-leadership-for-contemporary-organizations,UCx: Leadership for Contemporary Organizations,4.8 stars,19 ratings,UCx,Business & Management,Advanced,,"Industrial And Organizational Psychology, Influencing Skills, Leadership, Leadership Development, Operations, Organizational Development, Organizational Leadership",$169 USD,6 weeks
https://www.edx.org/learn/archaeology/harvard-university-pyramids-of-giza-ancient-egyptian-art-and-archaeology,HarvardX: Pyramids of Giza: Ancient Egyptian Art and Archaeology,4.8 stars,67 ratings,HarvardX,Art & Culture,Introductory,English,"3D Modeling, Archaeology",$219 USD,8 weeks
https://www.edx.org/learn/world-history/qatar-university-qatari-history-and-heritage,QUx: Qatari History and Heritage,4.7 stars,6 ratings,QUx,History,Introductory,English,"Archaeology, Influencing Skills, Legal Discovery, Oil And Gas",$39 USD,5 weeks
https://www.edx.org/learn/history/harvard-university-the-jewish-bible-its-history-as-a-physical-artifact,HarvardX: The Jewish Bible: Its History As A Physical Artifact,4.8 stars,9 ratings,HarvardX,Humanities,Introductory,None,English,$149 USD,6 weeks
https://www.edx.org/learn/bible/israelx-biblical-archaeology-the-archaeology-of-ancient-israel-and-judah,IsraelX: Biblical Archaeology: The archaeology of ancient Israel and Judah,4.9 stars,16 ratings,IsraelX,History,Introductory,English,"Archaeology, Legal Discovery",$119 USD,12 weeks
https://www.edx.org/learn/leadership/university-of-canterbury-leadership-for-contemporary-organizations,UCx: Leadership for Contemporary Organizations,4.8 stars,19 ratings,UCx,Business & Management,Advanced,,"Industrial And Organizational Psychology, Influencing Skills, Leadership, Leadership Development, Operations, Organizational Development, Organizational Leadership",$169 USD,6 weeks
https://www.edx.org/learn/archaeology/harvard-university-pyramids-of-giza-ancient-egyptian-art-and-archaeology,HarvardX: Pyramids of Giza: Ancient Egyptian Art and Archaeology,4.8 stars,67 ratings,HarvardX,Art & Culture,Introductory,English,"3D Modeling, Archaeology",$219 USD,8 weeks
https://www.edx.org/learn/world-history/qatar-university-qatari-history-and-heritage,QUx: Qatari History and Heritage,4.7 stars,6 ratings,QUx,History,Introductory,English,"Archaeology, Influencing Skills, Legal Discovery, Oil And Gas",$39 USD,5 weeks
https://www.edx.org/learn/urban-planning/harvard-university-citiesx-the-past-present-and-future-of-urban-life,"HarvardX: CitiesX: The Past, Present and Future of Urban Life",4.6 stars,54 ratings,HarvardX,Social Sciences,Introductory,English,"Anthropology, Consolidation, Economics, Human Capital, Journalism, Sociology, Urban Planning",$249 USD,11 weeks
https://www.edx.org/learn/sustainability/sdg-academy-sustainable-cities,SDGAcademyX: Sustainable Cities,4.7 stars,17 ratings,SDGAcademyX,Environmental Studies,Intermediate,,"Economics, Infrastructure, Public Policies, Real Estate, Real Estate Development, Resilience, Sustainability, Sustainable Business, Sustainable Development, Telecommunications, Urban Sustainability",Expert instruction,9 weeks
https://www.edx.org/learn/housing/delft-university-of-technology-global-housing-design,DelftX: Global Housing Design,4.7 stars,12 ratings,DelftX,Architecture,Intermediate,,"Animations, Built Environment, Design Strategies",$169 USD,6 weeks
